window_id,session_id,source_file,start_s,end_s,scheduled_label,quality_status,quality_reason,confidence_status,final_label,sample_count,max_gap_ms,clip_fraction,psd_resp_band,psd_total,snr_resp,variance_filtered,zero_crossings,spectral_entropy,peak_freq_hz,peak_power,pc1_var_explained,activity_log,breathing_activity_threshold
session_20260812_132120_hold_breath_off_hold_breath_off_w00015,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,40.0,48.0,breathing,accepted,,trusted_breathing,breathing,809,55.168,0.00204728,15.357762604319216,0.3294123406654578,46.621697818751485,4.770175677366097,6,1.512972024227005,0.25,21.078170366031998,0.6776368021965027,1.1863279501112254,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00016,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,42.0,50.0,breathing,accepted,,trusted_breathing,breathing,809,53.901,0.00418147,7.856637509483554,0.22352310232162098,35.149107308575715,17.66195669753442,4,1.5077090164655516,0.375,14.171072241604708,0.7239994406700134,1.1514027119972827,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00017,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,44.0,52.0,breathing,accepted,,trusted_breathing,breathing,808,53.901,0.00449606,21.405131092023527,0.5152721363553592,41.541410027302284,16.300653725843816,3,1.130979709334503,0.125,66.09405259429624,0.7192397117614746,1.3305178919399399,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00018,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,46.0,54.0,breathing,accepted,,trusted_breathing,breathing,808,53.901,0.00369353,98.40926057781178,2.4369111823738794,40.38278509679107,77.49354000804031,5,1.3621800230578802,0.125,235.88900084578617,0.747545599937439,1.9930359686407462,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00019,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,48.0,56.0,breathing,accepted,,trusted_breathing,breathing,811,53.901,0.00463355,61.77658873520077,1.4273790813627216,43.27973524466903,33.79078051029198,2,1.4943928973011005,0.125,113.10919990335954,0.7746898531913757,1.7908239231564158,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00020,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,50.0,58.0,breathing,accepted,,trusted_breathing,breathing,818,39.104,0.00273151,4.7944665450080075,0.10152727800026697,47.22343235625973,6.299770755186139,3,1.2034899688495555,0.25,8.78978595559165,0.7853343486785889,0.7993247460299836,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00021,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,52.0,60.0,breathing,rejected,transition_guard,not_evaluated,,818,,,,,,,,,,,,,
session_20260812_132120_hold_breath_off_hold_breath_off_w00022,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,54.0,62.0,breathing,rejected,mixed_or_unknown_label,not_evaluated,,818,,,,,,,,,,,,,
session_20260812_132120_hold_breath_off_hold_breath_off_w00023,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,56.0,64.0,hold_breath,rejected,mixed_or_unknown_label,not_evaluated,,818,,,,,,,,,,,,,
session_20260812_132120_hold_breath_off_hold_breath_off_w00024,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,58.0,66.0,hold_breath,rejected,mixed_or_unknown_label,not_evaluated,,815,,,,,,,,,,,,,
session_20260812_132120_hold_breath_off_hold_breath_off_w00025,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,60.0,68.0,hold_breath,rejected,transition_guard,not_evaluated,,815,,,,,,,,,,,,,
